Horodatage,Channel,Mot_A429
100133,1,34A93CD2
101133,1,7BC35F1D
102133,1,0715E6A9
103133,1,2BDE9F04
104133,1,10C1A919
105133,1,2453864C
106133,1,8A645E6B
107133,1,460E8B2B
108133,1,55713CC4
109133,1,E6C8CAE7
110133,1,5B42BA96
111133,1,17B50BAB
112133,1,F09ED083
113133,1,F6098C8B
114133,1,DC7709F2
115133,1,28B7EB93
116133,1,BB8EEE9A
117133,1,755FF475
118133,1,61B30FF3
119133,1,94D0E389
120133,1,453EF827
121133,1,925526AD
122133,1,2F1794E9
123133,1,E4A1FEFE
124133,1,D6E53802
125133,1,E4D14C25
126133,1,7F2F22EB
127133,1,38BF022D
128133,1,D1B2D10F
129133,1,5020E1D6
130133,1,F1B62827
131133,1,5C4EE922
132133,1,3D28F791
133133,1,0E45DCFA
134133,1,7CB1CFC5
135133,1,B105512C
136133,1,4C86D844
137133,1,7087062B
138133,1,51488750
139133,1,0FBDAD19
140133,1,889D6098
141133,1,A1068393
142133,1,C656604A
143133,1,16C9D36E
144133,1,B772AE51
145133,1,4D97D800
146133,1,F7B0C8A5
147133,1,D7DD7E78
148133,1,7F7742EA
149133,1,6810B8A7
150133,1,F6CEA3BF
151133,1,2CD248A2
152133,1,DE321188
153133,1,0FAD9B3B
154133,1,71A28CED
155133,1,6351D8C8
156133,1,DA718659
157133,1,259ED98B
158133,1,4CF7898B
159133,1,21ABD2CF
160133,1,D5792D8C
161133,1,DA7AE8B8
162133,1,E7C590BE
163133,1,8099861D
164133,1,E445E039
165133,1,12E9F2F6
166133,1,E0EC513B
167133,1,4BB72061
168133,1,57A8DD6E
169133,1,3EE36129
170133,1,E82D4A93
171133,1,2E46BCDD
172133,1,B18C82E5
173133,1,98C0DA27
174133,1,A67DF5FD
175133,1,BB2EFECD
176133,1,B7617DF6
177133,1,D42B6CA1
178133,1,CE4CAA4E
179133,1,6E36AD8C
180133,1,8C833F57
181133,1,33B2C492
182133,1,BA886075
183133,1,432886F0
184133,1,A559E9FA
185133,1,B2C50A0D
186133,1,35036FD3
187133,1,1D11C6C9
188133,1,59EDC00B
189133,1,F8C8756C
190133,1,299FADE5
191133,1,016786DA
192133,1,F4191205
193133,1,96F3350F
194133,1,840D4425
195133,1,6063A404
196133,1,4D881E39
197133,1,22831F29
198133,1,71919155
199133,1,63DF5E74
200133,1,0A694DEB
201133,1,BF5E5D88
202133,1,E302078A
203133,1,2DB65043
204133,1,C0769A94
205133,1,593D12E5
206133,1,EB26C401
207133,1,A3E4A232
208133,1,304A8FDA
209133,1,93221084
210133,1,43E7FA40
211133,1,7957E0AC
212133,1,D59DC690
213133,1,1979ACD2
214133,1,9DAE1C0B
215133,1,352B7A33
216133,1,202A3DA2
217133,1,3CB2E10A
218133,1,BFB9BDAC
219133,1,E139AFFB
220133,1,C484B83C
221133,1,144FF80E
222133,1,1619C9A7
223133,1,D8ECE00B
224133,1,EF0017A0
225133,1,32825901
226133,1,FCE63BC3
227133,1,E7DF3513
228133,1,E37924C8
229133,1,C04FAF92
230133,1,CFCF2DA0
231133,1,1888C620
232133,1,015E7AAF
233133,1,23AFAB87
234133,1,E4FE7EFB
235133,1,2A1AE496
236133,1,D7E13BA9
237133,1,07434792
238133,1,9D56E6B5
239133,1,27ED6819
240133,1,0E455FD6
241133,1,BBD77353
242133,1,ED50FD84
243133,1,AAA190E2
244133,1,00ADD487
245133,1,BF5B5583
246133,1,0BEC47A0
247133,1,C39E2CF9
248133,1,B7405B31
249133,1,A436CB46
250133,1,379F17DC
251133,1,25506AC1
252133,1,087B7399
253133,1,3A58534E
254133,1,58B2BC8E
255133,1,13EF7E4E
256133,1,34AA9581
257133,1,8CC7672F
258133,1,13E6784E
259133,1,B0795630
260133,1,03DE7B8B
261133,1,B449CE50
262133,1,829D452C
263133,1,14089BB3
264133,1,793D4012
265133,1,4C4F038C
266133,1,9DC19E60
267133,1,B5FA66E9
268133,1,06854288
269133,1,4780B436
270133,1,66D2C5F6
271133,1,E356BD12
272133,1,5452A385
273133,1,60E1678E
274133,1,CDCD95D8
275133,1,0B3CC393
276133,1,2BC5F437
277133,1,963C9523
278133,1,088FECDE
279133,1,E12CCA68
280133,1,33B887DB
281133,1,C2A32DCA
282133,1,F7B9A31A
283133,1,10403D36
284133,1,1532C138
285133,1,B5417AC7
286133,1,7858FB24
287133,1,1C931D6C
288133,1,44A800DF
289133,1,5783C32C
290133,1,1779505C
291133,1,40BDEA5F
292133,1,D336B7BC
293133,1,666DC0F4
294133,1,23F35F3D
295133,1,B2DE9492
296133,1,48797B49
297133,1,2B5D938E
298133,1,AA4685E0
299133,1,061232F5
300133,1,8B2D05E0
301133,1,16E3EAB6
302133,1,3BAB50E8
303133,1,22668BD2
304133,1,AA2BECA1
305133,1,ACDDB4CD
306133,1,53736EEE
307133,1,37987EBF
308133,1,62B23E6C
309133,1,995AC1B0
310133,1,4F5215DC
311133,1,06AD97F0
312133,1,256BDE93
313133,1,C2F85BB9
314133,1,66485228
315133,1,B41D738D
316133,1,5444F918
317133,1,26D283AE
318133,1,B71B2387
319133,1,F5CE63AC
320133,1,3CBF3029
321133,1,0D170741
322133,1,FF4F41ED
323133,1,FDDEDE0E
324133,1,5E0E81E0
325133,1,85336602
326133,1,35F776C5
327133,1,E2EB40FB
328133,1,2B2BFAA2
329133,1,415B085F
330133,1,6F9BCC49
331133,1,4AEF7FE5
332133,1,31EC8792
333133,1,48F99B9A
334133,1,A2E7DC6E
335133,1,315F1921
336133,1,F14A551B
337133,1,88608778
338133,1,E4EAAC76
339133,1,AAB654E7
340133,1,D4A322C7
341133,1,516EED75
342133,1,9B5C0432
